,type_of_renewable_energy,installed_capacity_mw,energy_production_mwh,energy_consumption_mwh,energy_storage_capacity_mwh,storage_efficiency_percentage,grid_integration_level,initial_investment_usd,funding_sources,financial_incentives_usd,ghg_emission_reduction_tco2e,air_pollution_reduction_index,jobs_created
7866,Hydroelectric,313.5937759,418315.8179,331934.258,9389.766102,79.01525073,Partially Integrated,103852454.2,Private,14249880.61,43139.54458,49.13403131,1886
7867,Wave,796.0962871,48051.12384,3477.002919,9789.982205,99.0221183,Isolated Microgrid,244897139.9,Public-Private Partnership,1434934.52,24810.97629,60.23054646,1454
7868,Biomass,466.2000777,37407.70526,307527.2698,5765.570785,61.20752528,Isolated Microgrid,350758444.9,Government,13319960.27,40183.02945,66.42885189,4104
7869,Geothermal,391.0859575,417604.0685,227610.3218,8329.072895,91.77244988,Fully Integrated,420590698.0,Private,762252.3106,19766.93938,55.52395888,282
7870,Tidal,429.7447133,283405.7524,339957.2071,5403.905721,80.62286147,Isolated Microgrid,200113707.0,Public-Private Partnership,13291190.56,24992.56043,70.57644215,4267
7871,Solar,477.291559,388757.6323,100295.5845,6356.116348,96.02814384,Fully Integrated,450561649.6,Government,12036782.32,39613.35292,3.001523463,4798
7872,Wind,320.5712776,74510.87633,130191.0327,8996.554324,59.26989897,Minimal Integration,424740925.6,Private,13746617.45,21892.0399,49.63710318,3207
7873,Biomass,138.1414698,436223.1517,181257.9461,6371.442481,78.02689574,Minimal Integration,390894679.0,Government,12257504.09,12913.86361,80.57639416,2819
7874,Wave,864.3726494,180215.6821,117685.8878,4132.424099,72.76624253,Partially Integrated,268659264.3,Government,177536.7998,27317.79828,12.22143159,3336
7875,Geothermal,953.4447534,230831.4898,308290.3553,7677.838155,81.21450445,Partially Integrated,410940456.0,Private,12591865.78,27289.33184,80.89258753,832
7876,Hydroelectric,586.1956567,40648.58126,352182.69,7686.8655,71.53647896,Minimal Integration,305410636.9,Public-Private Partnership,17588803.39,15049.17653,79.49430635,839
7877,Wind,265.3876703,273658.3852,185350.1927,2882.928437,90.43874156,Fully Integrated,75133300.96,Private,3287815.272,25323.85329,92.55533957,4654
7878,Solar,497.1206262,425788.6359,389521.0437,8912.556623,75.4865816,Minimal Integration,469646811.8,Government,2075875.855,25610.83687,6.944933827,4933
7879,Geothermal,535.4127641,4915.765722,187266.9153,8689.384494,51.87915618,Fully Integrated,486915909.2,Public-Private Partnership,19501391.53,30653.96536,18.79562182,4168
7880,Tidal,653.7300116,462003.6125,219093.4524,6133.764795,67.39206898,Partially Integrated,232511103.6,Public-Private Partnership,16930848.4,40728.28917,23.49681851,511
7881,Geothermal,310.4052278,192435.3277,47864.48862,3865.535511,59.61198516,Minimal Integration,242025811.0,Government,18470315.29,14129.7707,61.11317235,1525
7882,Tidal,948.2760399,171430.4088,266036.2292,7917.922151,99.64713541,Isolated Microgrid,134245363.2,Public-Private Partnership,10107670.23,7815.49355,67.96984843,461
7883,Hydroelectric,51.9319078,266053.7939,89877.48021,6404.706771,57.48866801,Partially Integrated,362789198.7,Private,8249516.298,1668.800304,7.902906651,467
7884,Wave,217.3871294,265351.5151,290523.2376,1750.4575,77.08068998,Partially Integrated,361430716.6,Government,15495260.21,47990.44997,23.07480663,3401
7885,Geothermal,580.442966,412851.8824,398316.5069,238.7208644,61.51944873,Minimal Integration,87890086.89,Private,13823266.15,13495.13557,11.77644815,531
7886,Biomass,805.8755545,156528.9643,257802.707,2454.456453,65.80313992,Isolated Microgrid,251641314.3,Public-Private Partnership,11231104.73,19442.08907,23.40286402,1558
7887,Wind,582.6502954,467998.7122,55449.48326,264.1476019,64.8831458,Minimal Integration,192423938.1,Government,10468154.73,19004.76618,45.01339921,1312
7888,Wind,300.0136193,257809.1512,398533.9654,9810.265826,82.71691591,Partially Integrated,62613960.76,Public-Private Partnership,18877214.26,30085.54863,89.06789186,1925
7889,Wind,567.086243,156422.8974,187371.1875,3215.585549,64.80788661,Minimal Integration,237621202.5,Government,1346252.675,41267.24417,33.06581176,1712
7890,Biomass,456.1205856,8556.161651,279118.8578,6883.267703,95.42838673,Fully Integrated,456086547.4,Private,19347694.73,32206.48571,17.59082144,3496
7891,Solar,224.5343203,461465.076,159884.3731,7894.830235,82.91230713,Partially Integrated,383547491.6,Private,5674357.235,19616.40009,5.240755838,3595
7892,Hydroelectric,550.8455734,71254.97502,320815.9005,7235.29458,79.11576419,Isolated Microgrid,472706526.2,Public-Private Partnership,7287672.562,27600.56607,16.58206583,1678
7893,Wind,176.9834965,455675.6314,208972.7744,3365.530811,76.1587976,Partially Integrated,123382447.1,Private,12065753.15,32294.45009,60.19462056,381
7894,Wave,957.7292486,484728.6815,402100.1181,5774.612209,67.04240897,Partially Integrated,374068437.6,Government,6527346.7,49429.03066,8.237005799,1167
7895,Wave,674.3068399,88514.27341,376130.4208,1178.194196,72.43218075,Partially Integrated,227915213.8,Private,11397050.84,42263.4573,48.04402861,3832
7896,Geothermal,762.1752821,42553.128,277389.6378,1825.446472,91.80981972,Isolated Microgrid,255563240.3,Private,16138025.42,27440.74584,79.0942735,2308
7897,Hydroelectric,9.386717771,279772.6463,90675.89532,4912.985661,96.52954183,Fully Integrated,295826241.8,Public-Private Partnership,3635693.657,40217.60991,45.64597697,805
7898,Geothermal,306.9241774,369338.1799,56514.58336,3213.352979,71.16916746,Isolated Microgrid,19981581.53,Public-Private Partnership,13409589.69,43734.71442,7.7270599,2315
7899,Biomass,474.1000358,52134.70267,438171.4502,443.6659191,68.35902455,Isolated Microgrid,331087206.4,Government,207245.1696,16532.0586,97.20175254,3977
7900,Tidal,132.3982208,328421.5063,136573.1529,9598.715375,54.82317389,Minimal Integration,292188879.9,Private,14641010.93,19237.4898,41.13243806,694
7901,Biomass,528.886376,31778.96375,413928.7417,5981.263924,94.16767626,Minimal Integration,94099046.25,Public-Private Partnership,9381407.357,11046.32524,47.62082776,2445
7902,Geothermal,744.3549313,488057.9188,295758.8466,9217.554591,83.83473736,Fully Integrated,335082252.7,Private,5226552.208,27192.35894,25.79336597,2618
7903,Tidal,491.3958669,413554.3701,53341.56341,4974.716414,52.51269173,Partially Integrated,83605414.1,Private,13508681.78,42593.97431,37.4025206,3643
7904,Wind,620.6562794,6229.781476,399049.0458,332.0201986,64.95235615,Isolated Microgrid,482231766.9,Public-Private Partnership,19305894.45,8744.123929,33.95068991,746
7905,Biomass,327.1485143,31453.79138,247496.7057,8554.764845,86.32629909,Isolated Microgrid,406678791.3,Public-Private Partnership,19923618.89,10224.06786,28.38908877,4878
7906,Geothermal,430.7668673,80471.97285,30285.83394,2769.116851,55.4062631,Isolated Microgrid,1457078.966,Private,1807924.218,43134.36982,21.4218427,3688
7907,Tidal,717.1843276,326061.111,413402.2337,8031.456971,96.05598909,Minimal Integration,402217264.4,Private,13865714.93,1255.911067,35.21112497,4028
7908,Solar,619.2318663,236972.0084,446833.9661,2059.174159,96.74386502,Partially Integrated,154019203.7,Private,5620302.027,35596.13889,30.59021231,4028
7909,Tidal,104.8446487,488925.0874,411439.9054,8960.08856,64.4377877,Minimal Integration,203147614.7,Private,10019266.44,23216.062,80.55426633,1967
7910,Geothermal,531.3916316,108319.4563,110280.7411,8186.807266,86.96246074,Partially Integrated,240787376.0,Government,8782621.544,36673.56356,63.41331405,4734
7911,Geothermal,446.1853432,400157.8417,430616.4568,5836.059339,85.42993226,Fully Integrated,352070317.7,Public-Private Partnership,19481375.95,45478.21239,90.25789728,2865
7912,Geothermal,337.5547145,330553.5817,179916.6272,5506.182862,86.20734237,Minimal Integration,220307318.8,Public-Private Partnership,2205768.299,45505.8308,99.27631929,558
7913,Solar,637.4331006,226513.5131,184131.7702,7412.073405,72.97720322,Partially Integrated,167736601.2,Public-Private Partnership,12172705.77,38336.07824,72.47433445,1100
7914,Hydroelectric,214.9412839,469349.8407,137025.8321,1551.805887,88.02240347,Isolated Microgrid,124241843.8,Public-Private Partnership,4394434.591,27403.87434,43.08124286,585
7915,Biomass,874.2515064,312520.2342,217942.252,1016.37411,78.25565479,Partially Integrated,172847459.8,Government,15960556.77,9225.821687,94.6011818,815
7916,Biomass,630.1355326,253193.5022,200916.2902,7884.396508,86.48449954,Isolated Microgrid,153719969.0,Government,7498977.532,25901.84734,98.52086218,3494
7917,Wind,573.3784222,178968.7915,143226.7239,5602.102639,86.92135686,Fully Integrated,272096511.2,Public-Private Partnership,8886020.279,42378.14133,1.086749008,789
7918,Hydroelectric,95.29445009,329641.9618,86148.23759,5939.579528,84.36393159,Isolated Microgrid,235435462.4,Private,19948354.96,8350.974163,81.80847681,4505
7919,Tidal,54.85265775,274289.8643,25475.72974,9722.458384,89.5433936,Partially Integrated,142436419.8,Private,15313323.71,6465.643713,76.44231645,1493
7920,Wind,463.2627604,262440.671,321698.4386,2747.453564,61.11104486,Partially Integrated,220559119.8,Public-Private Partnership,10912749.85,21831.77547,69.17456529,1923
7921,Wave,156.1111746,321682.4926,108408.6576,9343.900568,80.6773058,Minimal Integration,81426367.1,Public-Private Partnership,2291472.991,36413.17484,61.06794023,2732
7922,Wave,560.6439374,481324.5699,156346.4419,907.8983105,58.0611852,Partially Integrated,393231593.1,Public-Private Partnership,15854436.34,18480.25101,88.65648722,2355
7923,Solar,929.1016543,487073.3501,128614.5243,8610.048428,78.71099678,Partially Integrated,23604479.88,Private,12588537.61,656.9309613,32.1893136,4709
7924,Solar,452.3738787,187978.0875,378185.3189,239.6360852,77.59693146,Isolated Microgrid,77149536.49,Government,5986106.286,21412.32938,41.34195485,1961
7925,Solar,236.2041833,377943.6147,122738.7235,3366.113014,87.45262782,Fully Integrated,107244029.0,Private,7962646.882,2324.465809,71.56042185,4494
7926,Wind,26.37140921,95978.82045,414895.5785,1579.491757,92.5201446,Minimal Integration,355756537.4,Government,7685648.291,27207.00917,95.73927645,3373
7927,Geothermal,84.87809376,435443.596,154021.4121,2029.574739,92.93285456,Fully Integrated,354826075.3,Government,16682906.73,48302.33751,72.94276042,311
7928,Biomass,127.9562417,348034.4045,431703.8578,7654.15522,57.08391059,Isolated Microgrid,427192530.2,Public-Private Partnership,7816724.251,7717.810989,62.05619299,936
7929,Geothermal,987.8663863,46062.71327,255407.7969,7737.407893,95.30371393,Partially Integrated,156381186.6,Government,9183703.107,49947.99361,54.85766191,3631
7930,Geothermal,959.2348915,190584.1707,131458.2031,9544.550312,84.35421671,Partially Integrated,489962788.9,Private,7530772.469,18741.59266,34.09370521,3466
7931,Wave,936.8201572,211890.6723,241473.1558,2836.662003,99.1776693,Fully Integrated,250661237.1,Private,2707769.935,1898.687563,24.38023941,4764
7932,Solar,734.3013781,329829.3452,422637.8063,7089.782333,92.81382351,Minimal Integration,143991688.7,Government,14442618.58,23984.9913,45.36901913,1221
7933,Wind,327.2349593,27461.04767,397770.7903,910.6841136,79.69468364,Isolated Microgrid,478763739.4,Private,14047942.41,4702.090453,26.155707,2906
7934,Wind,502.6732764,2652.1019,95704.4773,5793.099322,79.15055184,Partially Integrated,317021896.3,Government,2497730.12,25578.46191,39.20425606,3704
7935,Solar,53.00917079,341702.0756,82242.39786,9305.374436,70.34815549,Minimal Integration,195066080.2,Private,12905590.86,12280.09319,26.71795361,4641
7936,Solar,669.9296307,153091.0928,313106.8636,6632.693907,70.21894013,Minimal Integration,489723826.2,Private,16962886.93,14131.14794,33.91010671,2288
7937,Wave,147.8976634,147071.2984,410084.0046,689.6162268,82.67448265,Partially Integrated,180498254.9,Private,3131468.984,18071.66132,67.53776385,2245
7938,Tidal,414.4244434,172960.7211,145608.306,480.2655916,82.47466186,Minimal Integration,108023817.9,Public-Private Partnership,12589309.94,24972.55155,57.01712773,4497
7939,Solar,642.9891813,193336.5407,175570.5267,5323.251519,52.32461662,Partially Integrated,178209570.1,Private,8025608.345,6506.640829,27.69218268,4614
7940,Tidal,294.0102031,254669.401,94164.00608,362.1618821,76.79400071,Isolated Microgrid,229744974.6,Government,14791680.74,28721.36898,55.15047714,242
7941,Geothermal,935.69902,358092.061,268120.259,1077.900421,55.67917902,Minimal Integration,193216660.7,Government,10813312.37,25295.10203,14.21954494,3712
7942,Solar,222.3482314,169476.3686,212906.3741,3674.503061,82.85021483,Fully Integrated,485361645.0,Public-Private Partnership,16486484.74,30734.17086,13.31238636,3358
7943,Solar,207.502965,217021.8933,142575.8008,4302.843711,53.17375104,Minimal Integration,461343507.3,Government,9842333.754,18820.12661,54.59770835,4506
7944,Wave,634.4403285,450350.3202,193956.525,4104.770761,65.54433445,Isolated Microgrid,325537916.9,Public-Private Partnership,2490347.995,30312.24211,4.927894884,3503
7945,Wind,467.1340384,25832.64993,381224.6621,2139.708329,72.17261463,Isolated Microgrid,294513254.2,Government,604129.643,22811.02456,47.91811886,2469
7946,Biomass,195.423086,157824.0527,270260.326,1222.148897,52.22018026,Isolated Microgrid,146640072.6,Government,691628.357,18949.77642,25.04879733,4924
7947,Tidal,283.5797701,417965.5369,7116.862159,1237.511774,67.88585981,Isolated Microgrid,111366466.0,Government,138841.7906,32371.98259,3.61465653,2606
7948,Hydroelectric,272.817858,58706.72701,136504.6615,9841.876226,59.11813513,Partially Integrated,17178555.93,Private,18178731.41,37039.2013,94.87432757,3711
7949,Wave,593.8560178,71614.83389,416919.8178,4548.121219,84.90484646,Fully Integrated,274365581.1,Private,8777954.786,7288.527447,57.16272111,2066
7950,Solar,782.5287761,116547.673,354196.2777,4154.319782,61.56122957,Minimal Integration,99171428.72,Private,13674261.98,3895.697896,64.34509751,1839
7951,Hydroelectric,381.3797837,113626.5427,296827.4843,6022.354302,66.79387382,Fully Integrated,405134907.8,Private,493544.7458,6962.566137,73.31990859,1422
7952,Geothermal,949.0595708,424405.7927,126984.8614,6184.102113,66.87827988,Minimal Integration,142458711.2,Public-Private Partnership,601471.1415,35811.66345,17.15164487,4084
7953,Solar,787.5597691,96320.63888,157875.0257,7257.660912,83.32885502,Fully Integrated,350434565.2,Private,9176857.247,11384.2344,78.95665926,743
7954,Wind,803.0177818,59392.85563,306432.896,9665.882299,62.93998102,Minimal Integration,139416559.4,Government,12457798.23,204.118324,90.58270122,632
7955,Biomass,433.5188765,116855.5206,69374.3208,2847.758826,51.63066914,Minimal Integration,242015260.7,Private,8980855.74,27497.23738,64.89592377,2839
7956,Hydroelectric,887.7494484,321635.9394,80633.25934,1766.176813,72.17311792,Fully Integrated,379224322.0,Private,18797401.06,18758.26821,76.37095493,735
7957,Geothermal,678.0884928,198610.6171,29872.92065,9301.325223,58.09566594,Isolated Microgrid,373885514.3,Private,12013428.42,24236.6819,90.63381177,3273
7958,Wind,221.0902716,246573.1824,304132.7503,7244.07666,50.14883714,Minimal Integration,185259518.8,Public-Private Partnership,5824400.448,45677.32537,4.501250519,3118
7959,Solar,871.2738534,202292.5199,188873.2373,8568.064529,65.68404753,Isolated Microgrid,338672099.2,Government,11666065.39,4623.496717,42.38374561,1027
7960,Hydroelectric,525.2804899,200029.7334,340794.1769,2167.097779,54.63247185,Partially Integrated,492111638.7,Public-Private Partnership,10453074.62,12606.45397,68.89563745,3635
7961,Tidal,856.1350466,408412.7944,426135.0799,7407.414178,72.92191508,Isolated Microgrid,53202841.4,Public-Private Partnership,4965505.088,3623.978049,15.76995039,3677
7962,Wind,537.7175833,351342.6439,246546.9647,4440.34055,61.71631442,Partially Integrated,400732886.5,Public-Private Partnership,11611331.98,42108.15508,93.86899957,3925
7963,Geothermal,320.2372205,210088.0653,19563.68661,2814.20113,55.98879653,Isolated Microgrid,317679018.9,Private,9172632.038,3412.198357,48.92914096,204
7964,Biomass,50.80148327,120385.6406,11809.08829,4758.972047,69.28268415,Isolated Microgrid,480009589.9,Private,2070231.699,10967.38034,64.17554343,1394
7965,Wind,973.4386569,210562.48,403211.0469,7517.378709,69.64112184,Partially Integrated,15643033.24,Government,8733349.992,9343.954216,18.88590847,208
7966,Biomass,508.7424054,114467.3086,259573.3452,6588.840196,64.37658766,Fully Integrated,107476267.7,Public-Private Partnership,12213416.72,24931.95977,92.8431315,2972
7967,Biomass,36.62277846,146316.4879,305285.101,2017.598649,82.46390059,Fully Integrated,322698723.2,Public-Private Partnership,318275.0445,34486.59393,60.63338893,3159
7968,Wind,162.025179,71357.72851,304737.46,3554.746421,89.25241677,Fully Integrated,269941554.6,Private,13725168.98,38902.75331,42.36161696,1697
7969,Biomass,293.2996548,208695.129,31479.12375,3616.490294,54.07068268,Isolated Microgrid,253980826.9,Government,2391361.451,27428.39239,82.31135244,398
7970,Wind,271.1325026,290731.7984,349535.6636,6072.268075,84.58555745,Minimal Integration,270385900.7,Public-Private Partnership,2488322.165,28037.60854,84.04621204,434
7971,Hydroelectric,449.1007737,391562.9904,269486.0915,869.9062916,87.18002098,Partially Integrated,459470638.3,Public-Private Partnership,9028614.22,40201.27508,49.79027511,2404
7972,Solar,912.7587891,404991.5398,228902.7587,6470.359443,69.89631849,Fully Integrated,146462903.3,Private,18379540.15,32473.03686,62.86164986,215
7973,Geothermal,200.8577789,307308.806,283726.9021,8544.775853,95.46101407,Minimal Integration,115583716.7,Government,8973352.735,17022.0138,24.71645405,2491
7974,Hydroelectric,507.745846,375214.9025,3372.852634,8892.259735,53.92072394,Minimal Integration,244718517.6,Private,698111.7567,8585.123836,21.49789732,3132
7975,Biomass,194.5204928,349491.2882,67634.16032,1339.327458,75.35111993,Minimal Integration,309101297.0,Private,9428993.742,40742.67754,18.48437315,3798
7976,Wind,636.6300281,74274.8998,421395.4288,4215.233364,92.48253543,Isolated Microgrid,425594628.7,Government,7802257.403,47250.00551,39.8291711,4171
7977,Tidal,443.9648982,157211.8112,364183.9495,7901.56736,98.41237757,Minimal Integration,303417978.9,Government,10392480.81,45424.38646,85.28517775,910
7978,Hydroelectric,529.3691303,354965.4429,317734.4832,8490.458009,98.09296085,Isolated Microgrid,294763116.7,Private,9343749.325,14280.71779,50.32691857,3161
7979,Wave,813.9330142,409469.3104,227590.3326,9442.211924,62.3951458,Partially Integrated,247750442.2,Public-Private Partnership,2086676.218,20429.38003,92.21115182,4628
7980,Biomass,35.52705854,286285.2256,152064.0373,6215.155217,80.41596639,Partially Integrated,458538814.1,Public-Private Partnership,7653173.713,1532.218595,24.22629481,4895
7981,Biomass,906.1595524,299977.9398,342674.1515,3333.587056,64.0907421,Fully Integrated,10027100.96,Private,5415909.406,44233.72492,25.65040096,4629
7982,Solar,698.8297546,13897.47227,159678.6749,1228.723753,60.37159711,Partially Integrated,35366701.9,Government,14865925.64,11180.82111,35.06047935,3995
7983,Geothermal,381.8406312,347233.4693,331983.0497,6067.867201,70.47247123,Fully Integrated,200846394.0,Government,5189177.795,37009.68392,35.67201795,3449
7984,Hydroelectric,357.8367783,415553.324,330345.5733,7348.634242,56.44356493,Fully Integrated,142719345.2,Public-Private Partnership,14781099.24,19668.01527,71.15212911,345
7985,Hydroelectric,199.0176402,41451.67477,438710.1693,5675.382285,94.83447466,Isolated Microgrid,100943399.8,Private,3308509.652,11909.29241,24.97735783,799
7986,Biomass,611.6953304,484655.5803,8546.105331,3654.800129,80.4291276,Isolated Microgrid,442073536.8,Government,10563443.53,5206.687053,71.08081542,1903
7987,Wind,597.7367335,286113.1795,273925.0057,4367.265643,69.72066701,Isolated Microgrid,92870591.13,Private,8223034.909,45652.19091,66.46557725,2150
7988,Geothermal,672.5844233,59268.35493,405385.3858,7692.68289,69.7560292,Minimal Integration,495765057.8,Public-Private Partnership,12064007.43,18907.26497,90.56425112,2021
7989,Hydroelectric,172.1496691,333184.7229,48126.78196,7052.541091,61.66969133,Fully Integrated,259079400.8,Public-Private Partnership,7868282.456,33910.43767,7.60388499,3509
7990,Biomass,255.875323,25364.42946,258766.2486,9050.165986,50.58233785,Fully Integrated,322720403.5,Public-Private Partnership,7420078.272,49699.05824,79.11541023,775
7991,Hydroelectric,359.0757477,397638.0767,31073.29087,5978.622974,72.47056959,Minimal Integration,89154658.92,Public-Private Partnership,9408128.767,23699.03308,24.98689252,4556
7992,Geothermal,802.9574942,464397.5202,435924.3883,328.4098518,61.72795858,Isolated Microgrid,43655694.66,Private,8178528.143,17314.21804,26.56226064,4634
7993,Tidal,705.2975738,51578.90824,432478.767,9659.649547,78.88431561,Minimal Integration,286272281.1,Government,11452764.43,19959.77884,85.14033498,1583
7994,Wind,991.9197787,5534.742913,432911.718,5954.816518,77.68648661,Partially Integrated,220534023.8,Private,18040079.2,27822.30734,45.18197639,3515
7995,Wave,413.9649341,189875.8119,153956.2376,3962.341541,57.19955575,Isolated Microgrid,498297509.0,Private,683185.7371,12323.08361,70.79014861,3563
7996,Geothermal,294.8049071,292862.6886,166280.8672,1200.889702,70.18436672,Isolated Microgrid,212166512.3,Public-Private Partnership,16578996.79,2526.326865,42.25153336,1252
7997,Geothermal,102.8088138,110637.7546,323764.2594,3092.387553,87.68499286,Minimal Integration,445880353.1,Public-Private Partnership,12536275.43,12273.99146,80.75618995,2754
7998,Geothermal,186.3968092,427920.4713,449060.5681,2132.414113,95.79413968,Partially Integrated,181622033.1,Private,1867000.453,27161.37026,81.16920444,4884
7999,Wave,813.0303789,33658.8418,216481.8339,8980.210062,65.75551907,Minimal Integration,232261063.7,Public-Private Partnership,15544095.58,19974.47599,63.903483,2592
8000,Wave,546.6385026,331374.0796,136546.6461,5816.050654,74.15858611,Fully Integrated,206210979.2,Private,13670923.76,9079.940678,69.07242411,3367
8001,Solar,394.9664157,460636.0291,425337.2143,7035.532528,66.25354377,Isolated Microgrid,309311676.9,Government,7935420.201,26536.51759,54.7307277,1295
8002,Wind,372.6550356,168039.6595,259925.0548,9221.163931,76.56980134,Partially Integrated,42735675.19,Private,6140572.085,45451.73824,75.40727312,1055
8003,Wind,181.7893675,333544.6211,164547.7999,7548.893642,74.99922166,Minimal Integration,77300200.25,Private,14153717.46,34325.09401,71.16308443,2769
8004,Hydroelectric,50.28383351,343499.7901,124418.8562,1244.538279,54.55034352,Minimal Integration,86362117.56,Public-Private Partnership,8768156.26,43873.12862,19.97443334,1036
8005,Wave,282.3048449,429568.8128,420870.5869,3380.42065,77.19570519,Fully Integrated,376984534.8,Private,5847390.761,42671.09965,16.32921565,4383
8006,Hydroelectric,376.152654,389568.6967,419338.6591,6852.670527,60.56542299,Fully Integrated,12300885.02,Public-Private Partnership,9401731.96,17307.68878,14.28954816,3269
8007,Wave,719.8779884,284214.9596,394854.0552,7151.827295,78.44961921,Isolated Microgrid,360849683.3,Government,4999299.159,1472.000401,80.62788883,1493
8008,Biomass,807.5390903,294165.4993,293015.2285,2920.495351,87.7128013,Isolated Microgrid,456184462.3,Government,3669784.973,37396.86005,77.00089225,1109
8009,Wind,223.7537035,487972.394,263148.4458,380.3638663,81.79392567,Minimal Integration,210272816.9,Public-Private Partnership,18673823.09,40694.02936,86.89113699,1819
8010,Biomass,38.6864394,261596.868,13791.56107,7940.220718,92.21708775,Partially Integrated,368937765.9,Private,10374236.14,14478.7059,97.66348798,3803
8011,Wind,511.6922765,306785.9932,352261.1863,399.047858,69.29171925,Partially Integrated,446008409.0,Private,18358964.94,25937.53432,93.83114722,3989
8012,Biomass,729.7700423,69282.51319,25753.11212,7412.739358,69.35595217,Partially Integrated,406546890.6,Government,14331059.01,18729.76029,43.79583092,2081
8013,Hydroelectric,533.4342291,428777.875,108803.1779,7498.477207,91.055631,Fully Integrated,58781749.75,Public-Private Partnership,13047430.73,46302.08059,72.45859784,3250
8014,Tidal,778.5441168,345617.4167,133190.0109,9620.971637,52.81665354,Minimal Integration,289175596.4,Private,4461528.189,12031.21504,57.08086038,2827
8015,Geothermal,768.8004053,147911.551,53936.24892,942.5922774,67.83180072,Fully Integrated,108348092.1,Private,5991851.503,13407.94327,28.98440229,3303
8016,Solar,614.9039413,173192.5987,230434.1245,9599.10766,61.0682338,Isolated Microgrid,327914914.7,Public-Private Partnership,6910235.007,44838.48932,47.59647123,472
8017,Wind,227.9899411,220742.2374,361780.2573,39.92952387,65.81361882,Partially Integrated,446660729.0,Public-Private Partnership,4968301.55,9960.922758,19.71329314,2665
8018,Biomass,970.6535585,469558.6877,380163.4497,6218.234924,56.31395692,Isolated Microgrid,122253494.7,Government,6117298.363,35441.52861,56.78915724,1473
8019,Hydroelectric,701.6709332,34390.19737,422562.3284,8124.266783,76.99026266,Fully Integrated,161613059.3,Private,10734730.85,13578.66637,99.45133249,4859
8020,Hydroelectric,201.1853933,77791.87867,319754.246,8509.35629,67.40959687,Partially Integrated,129462705.7,Government,12544930.82,26906.601,67.45200367,4998
8021,Hydroelectric,559.6449441,307426.4636,239436.6574,4676.887628,64.66723327,Isolated Microgrid,335154294.5,Private,652228.0063,36835.88664,36.11856254,3427
8022,Tidal,982.8491069,426648.9128,155459.621,7207.806634,79.13127899,Minimal Integration,205900361.7,Public-Private Partnership,6762728.286,24169.19691,97.40389849,3881
8023,Geothermal,729.506573,255637.4234,287888.868,3408.871976,98.86917995,Minimal Integration,417945420.3,Private,13457149.97,26457.53226,93.65587006,3340
8024,Wind,273.3975175,141449.2748,292448.5693,136.1432727,73.18168592,Isolated Microgrid,380458856.7,Public-Private Partnership,15037086.26,27782.17673,64.02680977,3360
8025,Wave,865.1028969,400430.0746,128286.3302,1767.487097,61.35836772,Minimal Integration,117939037.6,Private,5916968.258,31085.99322,17.90398359,1213
8026,Wave,46.11338577,489226.7128,102375.3165,359.2883906,52.00521609,Fully Integrated,476370501.1,Private,10878496.24,13584.07924,6.045916488,4996
8027,Wave,45.93327153,172912.4965,348131.7567,2462.580385,55.75846802,Minimal Integration,386011388.8,Government,7692911.309,43806.00193,54.12804081,838
8028,Hydroelectric,91.88914842,116385.4212,365941.639,3194.835261,98.05951721,Partially Integrated,362738756.3,Government,5467507.441,48187.77982,51.01727193,3624
8029,Tidal,631.7990426,5643.367246,308080.9944,8186.702337,89.47462061,Isolated Microgrid,215864402.8,Government,14990885.36,19012.31509,22.39606071,1886
8030,Hydroelectric,102.8693516,448517.7173,191502.0791,1225.070821,61.91738164,Partially Integrated,438504313.0,Public-Private Partnership,11823047.36,3208.121802,52.84609772,728
8031,Biomass,241.4383675,295774.3012,82254.2672,7538.927846,99.15766916,Partially Integrated,70656111.53,Public-Private Partnership,16324376.38,28825.60429,42.48950209,4349
8032,Biomass,129.101117,110764.8749,61332.17038,2308.472662,75.30724728,Minimal Integration,329767316.8,Private,11457319.93,4062.519766,44.53289917,2010
8033,Wave,327.5100508,221801.3988,134319.879,5530.488522,56.11337475,Fully Integrated,396931953.5,Government,3072359.791,3355.553471,49.20154191,3137
8034,Biomass,211.5952522,336840.5602,225472.6512,874.8912155,93.54740832,Isolated Microgrid,259920545.8,Public-Private Partnership,6331324.119,22268.6848,36.39582192,2963
8035,Biomass,900.25685,470209.3283,120043.656,128.8191567,51.55165498,Fully Integrated,401291164.8,Private,8775856.424,18696.68736,12.84073368,1309
8036,Tidal,391.959784,87592.54275,346661.3377,9071.933946,51.06243272,Partially Integrated,121286227.2,Private,14498472.07,15253.86196,48.60836367,3495
8037,Wind,734.4147721,288519.2078,131592.5584,7604.391961,82.06465201,Partially Integrated,115422693.1,Government,5070461.568,43801.05572,78.7815263,3380
8038,Tidal,373.8073766,77345.58995,149073.6323,6809.675203,75.36011889,Minimal Integration,5187607.018,Private,2870110.476,34556.96792,96.85150494,3915
8039,Tidal,862.666738,485684.694,71006.67145,2629.080019,87.14796827,Minimal Integration,38630355.72,Public-Private Partnership,2677975.772,28717.91577,35.01359308,3251
8040,Geothermal,457.94699,141234.5683,266773.1883,242.6035147,78.43041747,Fully Integrated,494649898.8,Public-Private Partnership,9350959.325,11684.29255,26.66239783,3674
8041,Solar,431.9347712,137426.9852,397349.6533,1780.176854,82.52965749,Minimal Integration,37135354.17,Private,12495976.81,36723.23443,34.02741607,4934
